Name,text,Valence,Humor,Arousal
hindi_meme0.png,मोदी जी के तीन बन्दर,2,2,3
hindi_meme11.png,राहुल ने अमेठी को ये दिया मोदी ने वाराणसी को ये दिया सड़क घर रेलवे स्टेशन,3,0,2
hindi_meme13.png,भाई गैस की परेशानी है भाई तेरी भाभी के पास चूरन है लाऊ ?,4,0,2
hindi_meme14.png,स्कूल क्या है ? एक दिन मैडम ने एक बच्चे से पूछा -स्कूल क्या है ?? बहुत ही शानदार जवाब मिला... स्कूल वो जगह है ... जहा पर हमारे पापा को लूटा और हमें कूटा जाता है ... !!,4,1,3
hindi_meme16.png,"अपनी शख्सियत ऐसी बनाओ की नुम्हें हराने के लिए कोशिश नहीं,करनी पड़े .. ",4,1,3
hindi_meme17.png,ये चिंता मत करो की मोदी का क्या होगा  चिंता ये करो की मोदी के हारने के बाद तुम्हारा क्या होगा,3,0,2
hindi_meme18.png,के रिजल्ट आ गए /,4,2,2
hindi_meme2.png,वो देखो नरेंद्र भाई अपुन  को 272 सीट दिख रैली है,4,0,4
hindi_meme20.png,छा  गया गुरु,4,0,3
hindi_meme3.png,"56 इंच के सीने का नाम सुनकर तो, हमारा दिल आज भी जाग उठता है /",4,0,4
hindi_meme4.png,बीजेपी जीतेगी,4,0,3
hindi_meme5.png,जिनको अपने काम पर भरोसा होता है वो नौकरी करते हैं / जिनको अपने आप पर भरोसा होता है वो व्यापार करते हैं /,4,1,3
hindi_meme8.png,बल्ला संभलता  नहीं इनसे ये काश्मीर लेंगे ?,2,0,3
hindi_meme100.png,अब ये अफवाह कौन फैला रहा है ? मोदी जी पाकिस्तान में  असहिष्णुता से परेशान लोगों के लिए प्लॉट  देखने  गये हैं?,2,0,3
hindi_meme23.png,"मोदी जी ने नौटंकी कर के देश बर्बाद किया , ये सुनकर मेरा मन २५ %कॉंग्रेस की ओर झूक गया ... मोदी जी ने जी एस टी  लाकर देश का नुकसान कर दिया , ये सुन कर मेरा मन ५ ० % कॉंग्रेस की ओर  झूक गया ...  मोदी जी ने बेरोजगारी बढ़ाई , ये सुन मेरा मन ७५% कॉंग्रेस की ओर झूक गया ..  मोदी जी ने सिर्फ घूमते रहे और कुछ काम नहीं किया, ये सुन मेरा मन ९ ९ % कॉंग्रेस की ओर झूक गया और ये सबकुछ राहुल गाँधी ठीक कर देंगे, ये सुना तो .. मेरा मन १०० % मोदी की ओर  हो गया ",2,2,4
hindi_meme24.png,पर दीखता तो मोबाइल जैसा है / ???? हाहाहा जोक था बे !!,4,1,3
hindi_meme25.png,"""काम इतनी ख़ामोशी से करो कि कामयाबी शोर मचा दे '' डॉ  मनमोहन सिंह ""शोर इतना मचाओ कि काम न करना पड़े '' - नरेंद्र मोदी ",2,1,2
hindi_meme28.png,बा  फ़िल्म का हिरो बहन (भाई से ) लड़का कैसा है ? भाई (बहन से )लड़का अच्छा है इंजीनियर है देखने में फ़िल्म का हीरो लगता है / बहन: कौन सी फ़िल्म का ? भाई बा,4,0,1
hindi_meme30.png,देश को गरीबी से निकालने के लिए युवाओ को बढ़कर कार्य करना चाहिए,4,0,3
